,Ticker,Volatility,Return 13Y,Cluster
0,MMM,0.0141125001208606,0.3167910228760763,0
1,AOS,0.0173276359896796,10.08809725297542,0
2,ABT,0.0136623003982596,3.2124144235775693,0
3,ACN,0.0152602446258735,7.341098317271466,0
4,ADBE,0.0199769393186847,15.08519744220898,1
5,AMD,0.0354549792335719,14.19690789285459,1
6,AES,0.0197578765625143,0.4081931157690849,0
7,AFL,0.0169897387692012,2.4685726520606344,0
8,A,0.0180807532726567,5.209710375844103,0
9,APD,0.0150664906212599,2.559136338355809,0
10,AKAM,0.02234403417158,3.5659721499137755,1
11,ALB,0.0243457486911741,2.793121426851002,1
12,ARE,0.0157891439190689,0.9948072095198036,0
13,ALGN,0.0291533241452077,13.81081081081081,1
14,LNT,0.0126839070674228,2.380560039029317,0
15,ALL,0.0148055550611046,3.603090971059356,0
16,GOOGL,0.0171861732993218,7.906282687781663,0
17,GOOG,0.0172139010296273,8.028048347920478,0
18,MO,0.0130493267632203,1.038403147366047,0
19,AMZN,0.0208083966608354,21.694547953043894,1
20,AEE,0.0132646779733156,1.6059076275736923,0
21,AEP,0.0123668456849737,1.324556508671886,0
22,AXP,0.0184411354864319,3.5782014838912004,0
23,AIG,0.0221019076407217,1.2666444089478073,1
24,AMT,0.0152641054091817,3.9673264940298143,0
25,AWK,0.0135700403452871,4.827373409100689,0
26,AMP,0.0210315890817764,8.524322377111128,1
27,AME,0.0154904457876368,8.61146360000587,0
28,AMGN,0.015168765591847,3.98995119408217,0
29,APH,0.0156792047543057,7.631258181691362,0
30,ADI,0.0182865149710351,5.269655733509851,0
31,ANSS,0.0181777652368906,7.1290324785927455,0
32,AON,0.0139024352816863,6.670532407684373,0
33,APA,0.0321040081846201,-0.6610937929792997,1
34,AAPL,0.0177736804208989,24.189664072241143,0
35,AMAT,0.022768296539769,10.333566794581287,1
36,ACGL,0.0150084848609414,8.290201749252217,0
37,ADM,0.0159411409128691,1.294884105385287,0
38,AJG,0.0129753924796619,9.070757082451872,0
39,AIZ,0.016425938660175,4.586538671936413,0
40,T,0.0131286699050972,-0.2226479997278511,0
41,ATO,0.0130916949999135,2.92615175232484,0
42,ADSK,0.0229855456110227,8.48500175317066,1
43,ADP,0.0139780007425998,5.195489844577342,0
44,AZO,0.0147792319126395,15.361514442792044,0
45,AVB,0.0153329874814359,1.3056651263181611,0
46,AVY,0.0174024582016913,4.486024749881108,0
47,AXON,0.03111179645262,54.55483468261156,2
48,BKR,0.0250329287921806,-0.17119304282127,1
49,BALL,0.0160981127909737,3.383311001596737,0
50,BAC,0.021577842906107,1.1459527768912003,1
51,BAX,0.0147582115807533,0.2210166457029122,0
52,BDX,0.0128712159412211,2.1797168138247147,0
53,BBY,0.0247525166545395,0.9477482322498636,1
54,TECH,0.0169314785534208,3.4938848759029217,0
55,BIIB,0.0248032364237804,3.824198209510231,1
56,BLK,0.0176815420026093,2.402632163477924,0
57,BX,0.02224048746457,8.549233975541279,1
58,BK,0.0173590955478947,0.8398726600426588,0
59,BA,0.0226303274745499,3.639729481064014,1
60,BKNG,0.0210184573350655,14.838631292930248,1
61,BWA,0.0213436277149912,1.4112254223555027,1
62,BSX,0.0183011774923865,5.416204206963198,0
63,BMY,0.014441168667776,1.0019509579943473,0
64,AVGO,0.0222151463182227,58.1861069982362,2
65,BR,0.0142090315053353,8.067871095514956,0
66,BRO,0.0138438373455273,6.896724009621678,0
67,BLDR,0.0353497834820867,43.28116798037202,2
68,BG,0.0183977048068188,0.5614848347348093,0
69,BXP,0.0177788202198354,0.0457526045400469,0
70,CHRW,0.0156104409265036,0.4558476435373056,0
71,CDNS,0.0190131749514454,43.50490199515839,2
72,CPT,0.0152766251920715,1.393106697970046,0
73,CPB,0.013733391856018,0.2763507796139959,0
74,COF,0.0215686188224272,2.357746419435204,1
75,CAH,0.0168090625747304,2.098678353345348,0
76,KMX,0.022783994510472,2.2001667776767984,1
77,CCL,0.0305270312895638,-0.4217092912861538,1
78,CAT,0.0184404902399981,4.049872199495835,0
79,CBRE,0.0218437837027095,5.7358898982287325,1
80,CE,0.0212749932146562,3.671377118398644,1
81,COR,0.0155450869657314,6.7123549138294525,0
82,CNC,0.0228579358553254,12.679262023107924,1
83,CNP,0.0156021767766715,0.9676307709445132,0
84,CF,0.0251322310379976,3.328179435317642,1
85,CRL,0.019870633485848,6.042001669512444,0
86,SCHW,0.0209148932809189,2.4782609031054394,1
87,CVX,0.017207807731801,0.8866684577312616,0
88,CMG,0.0219399659050277,25.035518640123872,1
89,CB,0.014110887612122,3.586969715856544,0
90,CHD,0.0126139139135872,5.166286098687226,0
91,CI,0.0182822301708359,7.233434726458299,0
92,CINF,0.0163224121918762,2.904150908848025,0
93,CTAS,0.0157213793585952,21.836680071350308,0
94,CSCO,0.0166016230846976,1.0461725137703384,0
95,C,0.0216899155233259,0.5129411360796761,1
96,CLX,0.0133051909723895,1.321178506096747,0
97,CME,0.015907374608017,2.075260640148537,0
98,CMS,0.0125467556758112,2.67764406808836,0
99,KO,0.0109266216794186,1.0662692622479937,0
100,CTSH,0.0186301778204782,2.2277777782306147,0
101,CL,0.0113949175088662,0.9242003754380456,0
102,CMCSA,0.0154156278108707,4.167943458856061,0
103,CAG,0.0145913446380409,0.5936001435567456,0
104,COP,0.0216838042905935,1.8957699772750936,1
105,ED,0.0120265223865914,1.0046275689627562,0
106,STZ,0.0182522304997187,13.99689748226444,0
107,COO,0.016804672961333,9.024900726924669,0
108,CPRT,0.0161029554813363,20.532546094084204,0
