,Ticker,Volatility,Volume,Cluster
0,MMM,0.0141125001208606,3608946.471890971,0
1,AOS,0.0173276359896796,1378227.654741624,0
2,ABT,0.0136623003982596,8452845.160704145,0
3,ACN,0.0152602446258735,2776753.236797274,0
4,ADBE,0.0199769393186847,3763922.430437252,0
5,AMD,0.0354549792335719,45950785.91709256,1
6,AES,0.0197578765625143,5832715.0482680295,0
7,AFL,0.0169897387692012,4512752.470187394,0
8,A,0.0180807532726567,2937374.3009653604,0
9,APD,0.0150664906212599,1279187.8620102217,0
10,AKAM,0.02234403417158,2406158.375922771,1
11,ALB,0.0243457486911741,1272766.0420215786,1
12,ARE,0.0157891439190689,652298.3532084043,0
13,ALGN,0.0291533241452077,916678.279386712,1
14,LNT,0.0126839070674228,1332720.329358319,0
15,ALL,0.0148055550611046,2670684.724588302,0
16,GOOGL,0.0171861732993218,58227074.161272,0
17,GOOG,0.0172139010296273,55531065.47189097,0
18,MO,0.0130493267632203,9247261.839863714,0
19,AMZN,0.0208083966608354,86238043.81033504,1
20,AEE,0.0132646779733156,1612155.4230550823,0
21,AEP,0.0123668456849737,2984715.3038046565,0
22,AXP,0.0184411354864319,5067911.272004543,0
23,AIG,0.0221019076407217,7893202.72572402,1
24,AMT,0.0152641054091817,2328632.4531516186,0
25,AWK,0.0135700403452871,962501.0505394662,0
26,AMP,0.0210315890817764,1204002.8676888132,1
27,AME,0.0154904457876368,1187017.1848381602,0
28,AMGN,0.015168765591847,3786063.940942646,0
29,APH,0.0156792047543057,5997243.043725156,0
30,ADI,0.0182865149710351,2960022.402044293,0
31,ANSS,0.0181777652368906,463831.94207836455,0
32,AON,0.0139024352816863,1460685.5479841,0
33,APA,0.0321040081846201,5307361.073253833,1
34,AAPL,0.0177736804208989,242283396.08177173,2
35,AMAT,0.022768296539769,12317983.361726291,1
36,ACGL,0.0150084848609414,1837487.194775696,0
37,ADM,0.0159411409128691,3850739.4094264624,0
38,AJG,0.0129753924796619,862727.6263486656,0
39,AIZ,0.016425938660175,652875.7524134015,0
40,T,0.0131286699050972,40401115.62549688,0
41,ATO,0.0130916949999135,644062.7200454287,0
42,ADSK,0.0229855456110227,2331423.3390119253,1
43,ADP,0.0139780007425998,2248054.011357184,0
44,AZO,0.0147792319126395,311895.5706984668,0
45,AVB,0.0153329874814359,804509.2277115275,0
46,AVY,0.0174024582016913,761603.2651902328,0
47,AXON,0.03111179645262,934923.3957978422,1
48,BKR,0.0250329287921806,5680338.444065872,1
49,BALL,0.0160981127909737,2361803.833049404,0
50,BAC,0.021577842906107,100680639.94889268,1
51,BAX,0.0147582115807533,4985138.3540601935,0
52,BDX,0.0128712159412211,1262506.487791028,0
53,BBY,0.0247525166545395,4965058.546280523,1
54,TECH,0.0169314785534208,742666.6382737082,0
55,BIIB,0.0248032364237804,1655165.4457694492,1
56,BLK,0.0176815420026093,704102.6121521862,0
57,BX,0.02224048746457,4408997.473026689,1
58,BK,0.0173590955478947,5941744.122657581,0
59,BA,0.0226303274745499,7290299.744463373,1
60,BKNG,0.0210184573350655,639420.0454287337,1
61,BWA,0.0213436277149912,2610986.160704145,1
62,BSX,0.0183011774923865,11553797.416240772,0
63,BMY,0.014441168667776,10436235.576377058,0
64,AVGO,0.0222151463182227,25657864.84951732,1
65,BR,0.0142090315053353,690282.4815445769,0
66,BRO,0.0138438373455273,1430137.3935264056,0
67,BLDR,0.0353497834820867,1153699.545712663,1
68,BG,0.0183977048068188,1233125.5536626915,0
69,BXP,0.0177788202198354,1009157.325383305,0
70,CHRW,0.0156104409265036,1430537.1379897783,0
71,CDNS,0.0190131749514454,2491959.7103918227,0
72,CPT,0.0152766251920715,685453.0948324816,0
73,CPB,0.013733391856018,2276107.0982396365,0
74,COF,0.0215686188224272,3535377.172061329,1
75,CAH,0.0168090625747304,2671494.5201590005,0
76,KMX,0.022783994510472,1956227.9954571263,1
77,CCL,0.0305270312895638,14933078.87563884,1
78,CAT,0.0184404902399981,5312161.073253833,0
79,CBRE,0.0218437837027095,2427579.30153322,1
80,CE,0.0212749932146562,1154560.193072118,1
81,COR,0.0155450869657314,1920525.0141964792,0
82,CNC,0.0228579358553254,3386880.550823396,1
83,CNP,0.0156021767766715,4342650.624645088,0
84,CF,0.0251322310379976,4937527.881885292,1
85,CRL,0.019870633485848,523422.54400908574,0
86,SCHW,0.0209148932809189,9652934.440658716,1
87,CVX,0.017207807731801,8281895.229982964,0
88,CMG,0.0219399659050277,32802522.71436684,1
89,CB,0.014110887612122,1814976.490630324,0
90,CHD,0.0126139139135872,1599460.4202157864,0
91,CI,0.0182822301708359,2120401.334469052,0
92,CINF,0.0163224121918762,767543.5831913685,0
93,CTAS,0.0157213793585952,2626901.306076093,0
94,CSCO,0.0166016230846976,31688489.09710392,0
95,C,0.0216899155233259,26378237.558205564,1
96,CLX,0.0133051909723895,1185116.7234525837,0
97,CME,0.015907374608017,1913176.8313458264,0
98,CMS,0.0125467556758112,2396143.75354912,0
99,KO,0.0109266216794186,15060955.053946622,0
100,CTSH,0.0186301778204782,4353787.535491198,0
101,CL,0.0113949175088662,4070835.604770017,0
102,CMCSA,0.0154156278108707,25225970.613287903,0
103,CAG,0.0145913446380409,4478351.843554799,0
104,COP,0.0216838042905935,8447290.947473027,1
105,ED,0.0120265223865914,1960105.9625212948,0
106,STZ,0.0182522304997187,1605074.21919364,0
107,COO,0.016804672961333,1630484.9517319703,0
108,CPRT,0.0161029554813363,5599602.896081772,0
109,GLW,0.0188839084154301,9024163.65701306,0
110,CSGP,0.0194721847528915,2014289.693356048,0
111,COST,0.012877311224801,2423384.412265758,0
112,CTRA,0.0242794196886383,6994757.438955139,1
113,CCI,0.0149689958773492,2231035.3208404314,0
114,CSX,0.0176861200141809,21315512.606473595,0
115,CMI,0.0186872537065125,1685645.6274843838,0
116,CVS,0.0151479937037457,7347600.567859171,0
117,DHR,0.0144139232013679,4041942.4574105614,0
118,DRI,0.0206283837842428,1783291.0229982964,1
119,DVA,0.0182129265315904,1434066.524701874,0
120,DECK,0.0269884214388741,5184578.875638842,1
121,DE,0.0178849715336648,2826718.3134582625,0
122,DAL,0.0256870108642721,12324381.516183987,1
123,DVN,0.0290843807837301,6679194.690516752,1
124,DXCM,0.0296866775192475,3404322.0613287906,1
125,DLR,0.0169697714365953,1513855.195911414,0
126,DFS,0.0223042089468883,3332549.2333901194,1
127,DG,0.0168900238444917,2735551.930721181,0
128,DLTR,0.0192115343855496,2701389.664963089,0
129,D,0.0130998139927086,3240517.348097672,0
130,DPZ,0.0189983370622152,727864.8495173197,0
131,DOV,0.0169760451426305,1563455.2879045997,0
132,DHI,0.0227681753176843,5009063.117546848,1
133,DTE,0.0130165473946275,1263601.6442362294,0
134,DUK,0.0119561562703094,3282946.4710391825,0
135,DD,0.0197549040869427,5613522.828222601,0
136,EMN,0.0191711332556066,1374465.587734242,0
137,ETN,0.0177805695756321,2771536.967632028,0
138,EBAY,0.0190517979194802,17000777.83645656,0
139,ECL,0.0149199419022934,1361730.7779670642,0
140,EIX,0.01517460965926,2170245.428733674,0
141,EW,0.020215345935304,5069970.357751277,0
142,EA,0.0204312756581101,4051125.411697899,1
143,ELV,0.0178445613670524,2069715.701306076,0
144,EMR,0.0168148944169956,3685465.900056786,0
145,ETR,0.0137410003973255,1402638.2737081205,0
146,EOG,0.0243584266479298,4224897.529812606,1
147,EQT,0.0279365196970293,4690932.71919364,1
148,EFX,0.0167688996767419,868378.0806360022,0
149,EQIX,0.0186045787432455,685286.0590573538,0
150,EQR,0.0156520282564569,2046412.4929017604,0
151,ERIE,0.0157539773347115,64758.12038614423,0
152,ESS,0.0155344229734984,377511.6695059625,0
153,EL,0.0184931219871841,1984389.7501419648,0
154,EG,0.0153131818130734,337861.7546848382,0
155,EVRG,0.0134369571504073,1274152.6973310618,0
156,ES,0.0134445354582422,1680344.690516752,0
157,EXC,0.0145876058456231,8398812.6919364,0
158,EXPE,0.0276096851975814,2581206.0618966497,1
